,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
585,Maw of Sekolah,114,12d12 + 36,-,12,-,7,21,12,17,2,14,7,+8,-,+6,-,-,-,0,-,50,-,-,-,H,NE,monstrosity,GoS
586,Merfolk Salvager,22,4d8 + 4,-,12,-,1,12,14,12,11,10,13,-,+4,-,-,-,-,10,-,40,-,-,-,M,N,humanoid,GoS
587,Merfolk Scout,16,3d8 + 3,-,13,-,1/2,11,14,12,11,13,11,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,GoS
588,Minotaur Living Crystal Statue,136,16d10 + 48,-,15,-,6,18,9,16,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,L,U,construct,GoS
589,Monstrous Peryton,144,17d10 + 51,-,14,-,11,19,14,16,9,14,10,+8,+6,-,-,+6,-,20,60,-,-,-,-,L,CE,monstrosity,GoS
590,Mr. Dory,170,20d8 + 80,-,18,-,10,13,20,19,14,14,16,-,-,+8,-,+6,-,30,-,-,-,-,-,M,CE,aberration,GoS
591,Oceanus,30,4d8 + 12,-,12,-,1/2,15,12,16,11,12,10,-,-,+5,-,-,-,30,-,30,-,-,-,M,NG,humanoid,GoS
592,Othokent,78,12d8 + 24,-,15,-,4,17,12,15,11,11,15,-,-,+4,-,+2,-,30,-,30,-,-,-,M,LN,humanoid,GoS
593,Pirate Bosun,27,5d8 + 5,-,12,-,1/2,16,11,13,11,10,13,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,GoS
594,Pirate Captain,45,7d8 + 14,-,14,-,2,16,14,14,11,10,14,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,GoS
595,Pirate Deck Wizard,32,5d8 + 10,-,12,-,1,10,14,14,16,13,11,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,GoS
596,Pirate First Mate,26,4d8 + 8,-,16,-,1,14,11,14,11,10,13,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,GoS
597,Rip Tide Priest,52,8d8 + 16,-,13,-,2,15,11,14,10,11,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,GoS
598,Sahuagin Blademaster,97,15d8 + 30,-,20,-,6,16,12,14,12,11,12,+6,-,+5,-,-,-,30,-,40,-,-,-,M,LE,humanoid,GoS
599,Sahuagin Champion,71,13d8 + 13,-,16,-,3,16,14,12,12,13,9,-,-,-,-,-,-,30,-,40,-,-,-,M,LE,humanoid,GoS
600,Sahuagin Coral Smasher,33,6d8 + 6,-,14,-,1,16,12,12,12,13,9,-,-,-,-,-,-,30,-,40,-,-,-,M,LE,humanoid,GoS
601,Sahuagin Deep Diver,91,14d8 + 28,-,15,-,4,14,16,15,12,13,9,-,-,+4,-,+3,-,30,-,40,-,-,-,M,LE,humanoid,GoS
602,Sahuagin Hatchling Swarm,52,8d10 + 8,-,14,-,3,9,18,12,3,10,3,-,-,-,-,-,-,0,-,40,-,-,-,L,CE,beast,GoS
603,Sahuagin High Priestess,71,11d8 + 22,-,14,-,5,14,12,14,12,16,10,-,-,-,-,+6,-,30,-,40,-,-,-,M,LE,humanoid,GoS
604,Sahuagin Wave Shaper,60,11d8 + 11,-,14,-,5,10,12,12,16,14,12,-,-,-,+6,-,-,30,-,40,-,-,-,M,LE,humanoid,GoS
605,Sanbalet,27,6d8,-,11,-,1,10,12,11,16,13,14,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,GoS
606,Sauriv,9,2d8,-,13,-,1/8,11,12,11,12,18,16,-,-,-,-,-,-,30,-,-,-,-,-,M,LN,humanoid,GoS
607,Shell Shark,32,5d8 + 10,-,18,-,2,15,12,14,3,10,7,+6,-,-,-,-,-,0,-,40,-,-,-,M,U,monstrosity,GoS
608,Skeletal Alchemist,32,5d8 + 10,-,11,-,1/2,9,13,15,14,10,9,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,GoS
609,Skeletal Juggernaut,142,19d10 + 38,-,13,-,5,16,14,15,6,8,5,-,-,-,-,-,-,30,-,-,-,-,-,L,LE,undead,GoS
610,Skeletal Swarm,60,8d10 + 16,-,13,-,2,12,14,15,6,8,5,-,-,-,-,-,-,30,-,-,-,-,-,L,LE,undead,GoS
611,Skum,93,11d8 + 44,-,14,-,5,19,11,18,7,12,9,-,-,-,-,-,-,20,-,40,-,-,-,M,LE,aberration,GoS
612,Thousand Teeth,93,11d10 + 33,-,12,-,6,19,10,17,2,10,7,+7,-,+6,-,-,-,30,-,50,-,-,-,L,NE,monstrosity,GoS
613,Vampiric Jade Statue,114,12d10 + 48,-,14,-,8,16,14,18,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,L,U,construct,GoS
614,Yalaga Maladwyn,71,13d8 + 13,-,16,-,8,10,14,12,13,17,18,-,-,+4,-,+6,+7,30,-,-,-,-,-,M,NE,undead,GoS
615,Demogorgon,60,8d8 + 24,-,15,-,4,16,12,16,3,12,5,-,-,-,-,-,-,30,-,-,-,-,-,M,U,monstrosity,HftT
616,Thessalhydra,69,6d12 + 30,-,14,-,4,19,12,20,5,10,7,-,-,-,-,-,-,30,-,30,-,-,-,H,U,monstrosity,HftT
617,Apprentice,7,2d8 - 2,-,10,-,-,8,10,9,13,11,12,-,-,-,+3,-,-,30,-,-,-,-,-,M,-,humanoid,HoL
618,Disciple,9,2d8,-,11,-,-,12,9,10,11,13,9,-,-,-,-,+3,-,30,-,-,-,-,-,M,-,humanoid,HoL
619,Sneak,9,2d6 + 2,-,13,-,-,8,13,12,11,12,9,-,+3,-,-,-,-,30,-,-,-,-,-,S,-,humanoid,HoL
620,Squire,11,2d8 + 2,-,12,-,-,13,10,12,8,11,9,+3,-,-,-,-,-,30,-,-,-,-,-,M,-,humanoid,HoL
621,Ambush Drake,22,4d6 + 8,-,13,-,1/2,13,15,14,4,11,6,-,-,-,-,-,-,30,-,-,-,-,-,M,U,dragon,HotDQ
622,Azbara Jos,39,6d8 + 12,-,13,-,4,9,16,14,16,13,11,-,-,-,+5,+3,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
623,Blagothkus,138,12d12 + 60,-,17,-,9,26,13,20,16,15,15,-,-,+9,-,+6,+6,40,-,-,-,-,-,H,NE,giant,HotDQ
624,Captain Othelstan,93,11d10 + 33,-,19,-,5,19,10,16,13,14,12,+7,-,+6,-,-,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
625,Dragonclaw,16,3d8 + 3,-,14,-,1,9,16,13,11,10,12,-,-,-,-,+2,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
626,Dragonwing,33,6d8 + 6,-,14,-,2,11,16,13,11,11,13,-,-,-,-,+2,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
627,Dralmorrer Borngray,52,7d10 + 14,-,16,-,3,18,14,14,16,10,8,+6,-,+4,-,-,-,30,-,-,-,-,-,M,NE,humanoid,HotDQ
628,Four-Armed Troll,84,8d10 + 40,-,15,-,6,18,13,20,7,9,7,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,giant,HotDQ
629,Frulam Mondath,44,8d8 + 8,-,16,-,2,14,10,13,11,18,15,-,-,-,-,+6,+4,30,-,-,-,-,-,M,LE,humanoid,HotDQ
630,Golden Stag,13,2d10 + 2,-,10,-,1/4,16,10,12,2,10,6,-,-,-,-,-,-,50,-,-,-,-,-,L,U,beast,HotDQ
631,Guard Drake,52,7d8 + 21,-,14,-,2,16,11,16,4,10,7,-,-,-,-,-,-,30,-,-,-,-,-,M,U,dragon,HotDQ
632,Jamna Gleamsilver,22,4d6 + 8,-,15,-,1,8,17,14,15,10,12,-,+5,-,+4,-,-,25,-,-,-,-,-,S,N,humanoid,HotDQ
633,Langdedrosa Cyanwrath,57,6d12 + 18,-,17,-,4,19,13,16,10,14,12,+6,-,+5,-,-,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
634,Leosin Erlanthar,60,11d8 + 11,-,16,-,3,11,17,13,11,16,10,-,-,-,-,-,-,40,-,-,-,-,-,M,A,humanoid,HotDQ
635,Linan Swift,8,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,HotDQ
636,Ontharr Frume,117,18d8 + 36,-,18,-,9,16,10,14,11,17,13,-,-,+6,-,+7,-,30,-,-,-,-,-,M,A,humanoid,HotDQ
637,Pharblex Spattergoo,59,7d8 + 28,-,15,-,3,15,12,18,11,16,7,+4,-,+6,-,-,-,20,-,40,-,-,-,M,CE,humanoid,HotDQ
638,Raggnar Redtooth,58,9d8 + 18,-,11,-,3,16,13,14,10,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,HotDQ
639,Rath Modar,71,11d8 + 22,-,13,-,6,11,16,14,18,14,10,-,-,-,+7,+5,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
640,Rezmir,90,12d8 + 36,-,13,-,7,18,16,16,15,12,14,-,+6,-,-,+4,-,30,-,-,-,-,-,M,NE,humanoid,HotDQ
641,Sandesyl Morgia,144,17d8 + 68,-,16,-,13,18,18,18,17,15,18,-,+9,-,-,+7,+9,30,-,-,-,-,-,M,LE,undead,HotDQ
642,Talis the White,58,9d8 + 18,-,18,-,5,14,12,14,10,16,16,-,-,-,-,+6,+6,30,-,-,-,-,-,M,LE,humanoid,HotDQ
643,Trepsin,84,8d10 + 40,-,15,-,6,18,13,20,7,9,7,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,giant,HotDQ
644,Aruk Thundercaller Thuunlakalaga,67,9d8 + 27,-,12,-,3,18,11,16,10,15,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,IDRotF
645,Auril (First Form),95,10d8 + 50,-,13,-,9,14,16,21,24,26,28,-,-,+9,-,+12,-,30,60,-,-,-,-,M,NE,monstrosity,IDRotF
646,Auril (Second Form),136,13d10 + 65,-,16,-,10,16,16,21,24,26,28,-,-,+9,-,+12,-,30,-,-,-,-,-,L,NE,elemental,IDRotF
647,Auril (Third Form),136,16d6 + 80,-,19,-,11,1,12,21,24,26,28,-,-,+9,-,+12,-,0,30,-,-,-,True,S,NE,elemental,IDRotF
648,Avarice,84,13d8 + 26,-,13,-,7,8,16,14,17,10,9,-,-,-,+6,+3,-,30,-,-,-,-,-,M,LE,humanoid,IDRotF
649,Awakened White Moose,68,8d10 + 24,-,11,-,3,19,11,16,10,12,6,-,-,-,-,-,-,40,-,-,-,-,-,L,NE,beast,IDRotF
650,Battlehammer Dwarf,16,3d8 + 3,-,13,-,1/2,11,14,12,11,13,11,-,-,-,-,-,-,25,-,-,-,-,-,M,LG,humanoid,IDRotF
651,Bjornhild Solvigsdottir,102,12d8 + 48,-,12,-,5,18,11,18,14,11,14,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,IDRotF
652,Chardalyn Berserker,90,12d8 + 36,-,13,-,4,16,12,17,9,11,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fiend,IDRotF
653,Chardalyn Dragon,147,14d12 + 56,-,17,-,11,24,11,19,10,10,3,+11,-,+8,-,-,-,30,90,-,-,-,-,H,CE,construct,IDRotF
654,Chimeric Baboon,3,1d6,-,12,-,0,8,14,11,4,12,6,-,-,-,-,-,-,30,-,-,-,30,-,S,U,beast,IDRotF
655,Chimeric Cat,2,1d4,-,12,-,0,3,15,10,3,12,7,-,-,-,-,-,-,40,-,-,-,30,-,T,U,beast,IDRotF
656,Chimeric Fox,2,1d4,-,13,-,0,2,16,11,3,12,6,-,-,-,-,-,-,30,-,-,5,-,-,T,U,beast,IDRotF
657,Chimeric Hare,1,1d4 - 1,-,13,-,0,1,17,9,2,11,4,-,-,-,-,-,-,20,30,-,5,-,-,T,U,beast,IDRotF
658,Chimeric Rat,1,1d4 - 1,-,10,-,0,2,11,9,2,10,4,-,-,-,-,-,-,20,-,-,-,-,-,T,U,beast,IDRotF
659,Chimeric Weasel,1,1d4 - 1,-,13,-,0,3,16,8,2,12,3,-,-,-,-,-,-,30,-,-,-,-,-,T,U,beast,IDRotF
660,Chwinga,5,2d4,-,15,-,0,1,20,10,14,16,16,-,-,-,-,-,-,20,-,20,-,20,-,T,N,elemental,IDRotF
661,Coldlight Walker,82,11d8 + 33,-,13,-,5,15,10,17,8,10,8,-,-,-,+2,+3,-,30,-,-,-,-,-,M,CE,undead,IDRotF
662,Demos Magen,51,6d8 + 24,-,16,-,2,14,14,18,10,10,7,-,-,-,-,-,-,30,-,-,-,-,-,M,U,construct,IDRotF
663,Dzaan,49,9d8 + 9,-,10,-,4,10,11,12,16,13,15,-,-,-,+5,+3,-,30,-,-,-,-,-,M,LE,humanoid,IDRotF
664,Dzaan's Simulacrum,24,9d8 + 9,-,10,-,1,10,11,12,16,13,15,-,-,-,+5,+3,-,30,-,-,-,-,-,M,LE,construct,IDRotF
665,F'yorl,9,13d8 + 13,-,11,-,0,11,12,12,19,17,17,-,-,-,+7,+6,+6,30,-,-,-,-,-,M,LE,aberration,IDRotF
666,Fox,2,1d4,-,13,-,0,2,16,11,3,12,6,-,-,-,-,-,-,30,-,-,5,-,-,T,U,beast,IDRotF
667,Frost Druid,67,9d8 + 27,-,13,-,5,12,13,16,10,16,9,-,-,-,+3,+6,-,-,60,-,-,-,-,M,A,humanoid,IDRotF
668,Frost Giant Skeleton,102,12d12 + 24,-,14,-,6,23,9,15,6,8,5,-,-,-,-,-,-,40,-,-,-,-,-,H,LE,undead,IDRotF
669,Galvan Magen,68,8d8 + 32,-,14,-,3,10,18,18,12,10,7,-,-,-,-,-,-,30,30,-,-,-,True,M,U,construct,IDRotF
670,Giant Walrus,85,9d12 + 27,-,9,-,4,22,9,16,3,11,4,-,-,-,-,-,-,20,-,40,-,-,-,H,U,beast,IDRotF
671,Gnoll Vampire,93,11d8 + 44,-,17,-,8,20,18,18,6,12,9,-,+7,+7,-,-,-,30,-,-,-,-,-,M,CE,undead,IDRotF
672,Gnome Ceremorph,58,13d6 + 13,-,16,-,5,6,14,12,19,17,17,-,-,-,+7,+6,+6,25,-,-,-,-,-,S,A,aberration,IDRotF
673,Gnome Squidling,10,3d6,-,8,-,1/2,4,7,10,4,10,3,-,-,-,-,-,-,15,-,-,-,-,-,S,U,aberration,IDRotF
674,Goliath Warrior,67,9d8 + 27,-,12,-,3,18,11,16,10,15,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,IDRotF
675,Goliath Werebear,161,19d8 + 76,-,10,-,8,20,10,18,10,15,10,-,-,-,-,-,-,-,-,-,-,-,-,M,NG,humanoid,IDRotF
676,Grandolpha Muzgardt,59,7d8 + 28,-,9,-,2,14,9,18,13,17,16,-,-,-,-,-,-,25,-,-,-,-,-,M,LE,humanoid,IDRotF
677,Gunvald Halraggson,76,9d8 + 36,-,13,-,5,20,8,18,9,10,16,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,IDRotF
678,Hare,1,1d4 - 1,-,13,-,0,1,17,9,2,11,4,-,-,-,-,-,-,20,-,-,5,-,-,T,U,beast,IDRotF
679,Headless Iron Golem,150,10d10 + 50,-,20,-,10,24,9,20,3,11,1,-,-,-,-,-,-,30,-,-,-,-,-,L,U,construct,IDRotF
680,Hengar Aesnvaard,112,15d8 + 45,-,16,-,5,18,15,16,10,12,15,+7,+5,+6,-,-,-,30,-,-,-,-,-,M,NG,humanoid,IDRotF
681,Hypnos Magen,34,4d8 + 16,-,12,-,1,10,14,18,14,10,7,-,-,-,-,-,-,30,-,-,-,-,-,M,U,construct,IDRotF
682,Ice Piercer,22,3d8 + 9,-,15,-,1/2,10,13,16,1,7,3,-,-,-,-,-,-,5,-,-,-,5,-,M,U,monstrosity,IDRotF
683,Ice Troll,84,8d10 + 40,-,15,-,5,18,13,20,7,9,7,-,-,-,-,-,-,30,-,-,-,-,-,L,CE,giant,IDRotF
684,Icewind Kobold,9,2d6 + 2,-,14,-,1/8,7,15,12,8,8,8,-,+4,+3,-,-,-,30,-,-,-,20,-,S,A,humanoid,IDRotF
685,Icewind Kobold Zombie,19,3d6 + 9,-,9,-,1/8,8,6,16,3,6,3,-,-,-,-,+0,-,20,-,-,-,-,-,S,NE,undead,IDRotF
686,Isarr Kronenstrom,117,18d8 + 36,-,15,-,8,16,16,15,14,15,16,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,IDRotF
687,Jarund Elkhardt,104,16d8 + 32,-,14,-,5,18,10,15,12,14,18,-,-,+5,-,+5,-,30,-,-,-,-,-,M,N,humanoid,IDRotF
688,Kadroth,33,6d8 + 6,-,13,-,2,11,14,12,10,13,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,humanoid,IDRotF
689,Kingsport,5,1d8 + 1,-,11,-,0,6,12,12,10,10,4,-,-,-,-,-,-,20,-,40,-,-,-,M,U,beast,IDRotF
690,Knight of the Black Sword,33,6d8 + 6,-,13,-,2,11,14,12,10,13,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LNXCNYE,humanoid,IDRotF
691,Knucklehead Trout,7,2d6,-,12,-,0,14,14,11,1,6,1,-,-,-,-,-,-,0,-,30,-,-,-,S,U,beast,IDRotF
692,Kobold Vampire Spawn,39,6d6 + 18,-,14,-,3,10,18,16,8,8,8,-,+6,-,-,+1,-,30,-,-,-,20,-,S,NE,undead,IDRotF
693,Living Bigby's Hand,52,5d10 + 25,-,20,-,4,26,10,20,1,10,1,-,+2,-,-,+2,-,0,60,-,-,-,True,L,U,construct,IDRotF
694,Living Blade of Disaster,67,9d6 + 36,-,14,-,8,10,16,19,6,10,3,-,-,-,-,-,-,0,30,-,-,-,True,S,CE,construct,IDRotF
695,Living Demiplane,31,7d8,-,10,-,0,1,10,10,1,10,1,-,-,-,-,-,-,30,-,-,-,30,-,M,U,construct,IDRotF
696,Lonelywood Banshee,58,13d8,-,12,-,4,1,14,10,12,11,17,-,-,-,-,+2,+5,0,40,-,-,-,True,M,CE,undead,IDRotF
697,Mjenir,27,5d8 + 5,-,11,-,2,10,12,13,12,15,11,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,IDRotF
698,Mountain Goat,13,2d8 + 4,-,11,-,1/8,14,12,14,2,10,5,-,-,-,-,-,-,40,-,-,-,30,-,M,U,beast,IDRotF
699,Nass Lantomir's Ghost,45,10d8,-,11,-,6,7,13,10,17,12,17,-,-,-,-,-,-,0,40,-,-,-,-,M,NE,undead,IDRotF
700,Prisoner 237,32,5d8 + 10,-,11,-,1,9,13,14,17,10,15,-,-,-,-,-,-,-,-,-,-,-,-,M,LE,humanoid,IDRotF
701,Reghed Chieftain,112,15d8 + 45,-,16,-,5,18,15,16,10,12,15,+7,+5,+6,-,-,-,30,-,-,-,-,-,M,A,humanoid,IDRotF
702,Reghed Great Warrior,112,15d8 + 45,-,16,-,5,18,15,16,10,12,15,+7,+5,+6,-,-,-,30,-,-,-,-,-,M,A,humanoid,IDRotF
703,Reghed Shaman,27,5d8 + 5,-,11,-,2,10,12,13,12,15,11,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,IDRotF
704,Reghed Warrior,11,2d8 + 2,-,12,-,1/8,13,11,12,8,11,8,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,IDRotF
705,Reindeer,13,2d10 + 2,-,10,-,1/4,16,10,12,2,10,6,-,-,-,-,-,-,50,-,-,-,-,-,L,U,beast,IDRotF
706,Seal,9,2d8,-,11,-,0,10,12,11,3,12,5,-,-,-,-,-,-,20,-,40,-,-,-,M,U,beast,IDRotF
707,Sephek Kaltro,75,10d8 + 30,-,12,-,3,16,14,16,11,16,18,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,undead,IDRotF
708,Snow Golem,39,6d8 + 12,-,8,-,3,15,6,14,1,6,1,-,-,-,-,-,-,10,-,-,-,-,-,M,U,construct,IDRotF
709,Snowy Owlbear,59,7d10 + 21,-,13,-,3,20,12,17,3,12,7,-,-,-,-,-,-,40,-,30,-,-,-,L,U,monstrosity,IDRotF
710,Spellix Romwod,33,6d6 + 12,-,14,-,1/2,6,15,14,15,9,16,-,-,-,-,-,-,25,-,-,-,-,-,S,CN,humanoid,IDRotF
711,Sperm Whale,189,14d20 + 42,-,13,-,8,26,8,17,3,12,5,-,-,-,-,-,-,0,-,60,-,-,-,G,U,beast,IDRotF
712,Spitting Mimic,85,10d10 + 30,-,14,-,5,21,12,17,9,15,10,-,-,-,-,-,-,20,-,-,-,-,-,L,N,monstrosity,IDRotF
713,Telepathic Pentacle,172,15d12 + 75,-,15,-,8,20,12,20,2,10,7,-,-,-,-,-,-,30,-,30,-,30,-,H,U,monstrosity,IDRotF
714,Tomb Tapper,207,18d12 + 90,-,17,-,10,22,10,21,14,14,11,-,-,-,-,-,-,30,-,-,10,-,-,H,LN,construct,IDRotF
715,Tribal Warrior Spore Servants,11,2d8 + 2,-,12,-,1/8,13,11,12,2,6,1,-,-,-,-,-,-,20,-,-,-,-,-,M,U,plant,IDRotF
716,Vellynne Harpell,67,9d8 + 27,-,13,-,4,10,12,17,18,15,13,-,-,-,+6,+4,-,20,-,-,-,-,-,M,N,humanoid,IDRotF
717,Verbeeg Longstrider,119,14d10 + 42,-,14,-,5,19,15,16,13,14,10,-,+5,+6,-,+5,-,50,-,-,-,-,-,L,N,giant,IDRotF
718,Verbeeg Marauder,85,10d10 + 30,-,14,-,4,19,11,16,11,10,9,-,+2,+5,-,-,-,40,-,-,-,-,-,L,NE,giant,IDRotF
719,Walrus,22,3d10 + 6,-,9,-,1/4,15,9,14,3,11,4,-,-,-,-,-,-,20,-,40,-,-,-,L,U,beast,IDRotF
720,Xardorok Sunblight,93,11d8 + 44,-,16,-,5,16,11,18,12,13,18,-,-,-,-,+4,+7,25,-,-,-,-,-,M,LE,humanoid,IDRotF
721,Yeti Tyke,9,2d6 + 2,-,11,-,1/8,10,11,12,6,8,5,-,-,-,-,-,-,20,-,-,-,20,-,S,CE,monstrosity,IDRotF
722,Young Griffon (Medium),32,5d6 + 15,-,12,-,1,12,15,16,2,13,8,-,-,-,-,-,-,30,80,-,-,-,-,M,U,monstrosity,IDRotF
723,Young Griffon (Small),13,2d6 + 6,-,12,-,1/4,8,15,16,2,13,8,-,-,-,-,-,-,30,80,-,-,-,-,S,U,monstrosity,IDRotF
724,Young Griffon (Tiny),5,1d4 + 3,-,12,-,0,2,15,16,2,13,8,-,-,-,-,-,-,30,40,-,-,-,-,T,U,monstrosity,IDRotF
725,"""The Demogorgon""",123,13d12 + 39,-,15,-,8,21,8,17,6,10,8,-,-,-,-,-,-,40,-,-,-,-,-,L,CN,giant,IMR
726,Andras,78,12d8 + 24,-,15,-,8,11,16,14,13,11,10,-,+6,-,+4,-,-,30,-,-,-,-,-,M,NE,humanoid,IMR
727,Barbatos,78,12d8 + 24,-,15,-,6,11,16,14,13,14,10,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,IMR
728,Brain in Iron,58,9d8 + 18,-,15,-,6,1,1,15,19,10,15,-,-,-,+7,-,+5,20,-,-,-,-,-,L,LN,construct,IMR
729,Dwarven Worker,9,2d8,-,12,-,1/8,11,12,10,10,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LNXCNYE,humanoid,IMR
730,Enhanced Medusa,127,17d8 + 51,-,15,-,6,10,15,16,12,13,15,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,monstrosity,IMR
731,Grandfather Oak,138,12d12 + 60,-,16,-,9,23,8,21,12,16,12,-,-,-,-,-,-,30,-,-,-,-,-,H,CG,plant,IMR
732,Lynx Creatlach,136,16d8 + 64,-,13,-,5,18,14,18,13,16,18,+7,-,+7,-,+6,+7,30,-,-,-,-,-,M,LE,undead,IMR
733,Moghadam,104,19d8 + 19,-,14,-,12,10,12,13,19,16,16,-,-,+5,+8,+7,-,30,-,-,-,-,-,M,NE,humanoid,IMR
734,Neo-Otyugh,150,12d12 + 72,-,16,-,7,20,11,22,12,13,6,-,-,+9,-,-,-,30,-,-,-,-,-,H,N,aberration,IMR
735,Seodra,9,2d8,-,19,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,IMR
736,Sir Ursas,112,15d8 + 45,-,20,-,5,18,15,16,10,12,15,+7,+5,+6,-,-,-,30,-,-,-,-,-,M,LE,humanoid,IMR
737,Skeletal Giant Owl,19,3d10 + 3,-,12,-,1/4,13,15,12,8,13,10,-,-,-,-,-,-,5,60,-,-,-,-,L,N,undead,IMR
738,Skeletal Owlbear,59,7d10 + 21,-,13,-,3,20,12,17,3,12,7,-,-,-,-,-,-,40,-,-,-,-,-,L,U,undead,IMR
739,Skeletal Polar Bear,42,5d10 + 15,-,12,-,2,20,10,16,2,13,7,-,-,-,-,-,-,40,-,30,-,-,-,L,U,undead,IMR
740,Skeletal Two-Headed Owlbear,59,7d10 + 21,-,13,-,3,20,12,17,3,12,7,-,-,-,-,-,-,40,-,-,-,-,-,L,U,undead,IMR
741,Stolos,91,14d8 + 28,-,12,-,6,9,14,15,12,12,18,-,-,-,-,+4,+7,30,30,-,-,-,-,M,NE,humanoid,IMR
742,Tarnhem,262,21d12 + 126,-,19,-,19,26,15,22,20,16,22,+14,-,+12,-,+9,+12,40,80,-,-,-,-,H,CE,fiend,IMR
743,Thessalar,104,19d8 + 19,-,14,-,12,10,12,13,19,16,16,-,-,+5,+8,+7,-,30,-,-,-,-,-,M,NE,humanoid,IMR
744,Thessalar's Homunculus,5,2d4,-,13,-,0,4,15,11,10,10,7,-,-,-,-,-,-,20,40,-,-,-,-,T,N,construct,IMR
745,Thessalheart Construct,7,2d4 + 2,-,15,-,0,4,15,12,10,10,7,-,-,-,-,-,-,40,-,-,-,40,-,T,N,construct,IMR
746,Thessalkraken,207,18d12 + 90,-,16,-,14,24,11,20,19,15,17,+12,+5,+10,+9,+7,-,20,-,60,-,-,-,G,CE,monstrosity,IMR
747,Tiefling Muralist,9,2d8,-,12,-,1/8,11,12,10,10,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,LNXCNYE,humanoid,IMR
748,Two-Headed Crocodile,19,3d10 + 3,-,12,-,1,15,10,13,2,10,5,-,-,-,-,-,-,20,-,30,-,-,-,L,U,beast,IMR
749,Two-Headed Owlbear,59,7d10 + 21,-,13,-,3,20,12,17,3,12,7,-,-,-,-,-,-,40,-,-,-,-,-,L,U,monstrosity,IMR
750,Goblin Gang Member,10,3d6,-,14,-,1/4,8,16,10,10,10,8,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,humanoid,KKW
751,Krenko,21,6d6,-,17,-,1,10,14,10,10,8,14,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,humanoid,KKW
752,Loading Rig,39,6d10 + 6,-,18,-,1,18,11,13,1,3,1,-,-,-,-,-,-,25,-,-,-,-,-,L,U,construct,KKW
753,Brain in a Jar,58,9d8 + 18,-,11,-,6,1,1,15,19,10,15,-,-,-,+7,-,+5,0,-,-,-,-,-,M,A,undead,LLK
754,Clockwork Kraken,142,15d10 + 60,-,17,-,10,20,12,18,3,11,1,-,-,-,-,-,-,30,-,-,-,-,-,L,U,construct,LLK
755,East Wind,60,11d8 + 11,-,16,-,3,11,17,13,11,16,10,-,-,-,-,-,-,40,-,-,-,-,-,M,A,humanoid,LLK
756,Elder Monastery of the Distressed Body Monk,33,6d8 + 6,-,13,-,2,11,14,12,10,13,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LNXCNYE,humanoid,LLK
757,Garret Levistusson,44,8d8 + 8,-,14,-,2,11,14,12,11,12,17,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,LLK
